logged_at_utc,event,signal_id,bar_time_utc,side,symbol,data_source,engine_version,run_id,commit_sha,signal_to_send_minutes,ref_price,entry_zone_low,entry_zone_high,expires_at_utc,r_usdt,callback_pct,stop_level,r_pct_of_price,entry_price,exit_price,bars_held,trail_at_event,exit_reason,open,high,low,close,volume,atr14,atr_pct_of_price,rsi,rsi_roc,ema_fast,ema_slow,ema_spread_pct,vol_avg,vol_ratio,prior_high,prior_rsi_peak,breakout_margin_pct,actual_fill_price,actual_qty,actual_exit_price,notes
2026-09-21T08:07:05.481724+00:00,ENTRY,20260921T0000-L,2026-09-21T04:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-1.1.0,35551359847,f768377a,7.1,2665.95,,,,59.6694,2.2382,2606.2806,2.2382,2665.95,,,2618.7452,,2665.95,2678.7,2646.58,2661.66,39568.8587,39.779622,1.4945,68.215452,11.746127,2597.162928,2545.020691,2.048794,52423.841105,0.7548,2707.7,75.735983,-1.071,,,,
2026-09-21T12:00:08.608968+00:00,SIGNAL,20260921T0800-L,2026-09-21T08:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.0.0,35571471176,183badc2,0.1,0.0934,0.0918,0.0949,2026-09-21T16:00:00+00:00,0.0031,3.3286,0.0903,3.3286,,,,,,0.08973,0.09488,0.08967,0.09336,625830028.0,0.002072,2.2191,74.03548,21.6378,0.087202,0.085673,1.784673,195304635.9,3.2044,0.09135,74.318134,3.8643,,,,
2026-09-21T12:00:11.071820+00:00,SIGNAL,20260921T0800-L,2026-09-21T08:00:00+00:00,long,XRPUSDT,binance_spot_mirror,mex-fwd-2.0.0,35571471176,183badc2,0.2,1.4856,1.4617,1.5095,2026-09-21T16:00:00+00:00,0.0478,3.2202,1.4378,3.2202,,,,,,1.4386,1.4982,1.438,1.4856,82464821.5,0.031893,2.1468,72.128862,17.54265,1.402279,1.380554,1.573708,32453562.32,2.541,1.4538,66.719752,3.0541,,,,
2026-09-21T12:00:12.453967+00:00,SIGNAL,20260921T0800-L,2026-09-21T08:00:00+00:00,long,SOLUSDT,binance_spot_mirror,mex-fwd-2.0.0,35571471176,183badc2,0.2,116.8,115.1604,118.4396,2026-09-21T16:00:00+00:00,3.2792,2.8075,113.5208,2.8075,,,,,,112.11,117.18,112.07,116.8,1210079.99,2.186103,1.8717,76.394037,18.915729,109.835532,106.388758,3.239792,534664.6002,2.2633,114.32,83.66808,2.5017,,,,
2026-09-21T16:03:15.259231+00:00,ENTRY,20260921T0800-L,2026-09-21T12:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.0.0,35612658286,ca9333c3,3.3,0.0934,,,,0.0035,3.771,0.0898,3.771,0.0934,,,0.0945,,0.09337,0.09818,0.09225,0.09733,652178834.0,0.002347,2.4117,79.743872,21.409868,0.088166,0.08613,2.364384,219316247.55,2.9737,0.09488,74.318134,3.4781,,,,
2026-09-21T16:03:17.946593+00:00,ENTRY,20260921T0800-L,2026-09-21T12:00:00+00:00,long,XRPUSDT,binance_spot_mirror,mex-fwd-2.0.0,35612658286,ca9333c3,3.3,1.4856,,,,0.0485,3.2628,1.4371,3.2628,1.4856,,,1.4602,,1.4856,1.5094,1.4716,1.495,60978569.2,0.032315,2.1615,73.329954,14.6669,1.41111,1.385042,1.882132,34031539.24,1.7918,1.4982,72.128862,0.7476,,,,
2026-09-21T16:03:19.077668+00:00,ENTRY,20260921T0800-L,2026-09-21T12:00:00+00:00,long,SOLUSDT,binance_spot_mirror,mex-fwd-2.0.0,35612658286,ca9333c3,3.3,116.8,,,,3.361,2.8776,113.439,2.8776,116.8,,,115.7214,,116.8,119.15,116.2,117.94,1287104.991,2.240667,1.8998,78.032144,15.575989,110.607386,106.841747,3.524501,561053.19245,2.2941,117.18,83.66808,1.6812,,,,
2026-09-22T04:01:36.770551+00:00,EXIT,20260921T0000-L,2026-09-22T00:00:00+00:00,long,ETHUSDT,binance_spot_mirror,mex-fwd-2.0.0,35677138787,746c465b,1.6,,,,,59.6694,2.2382,,,2665.95,2744.506,5,2744.506,trailing_stop,2776.2,2777.55,2726.1,2739.65,56265.5041,44.463856,1.623,69.498219,1.282767,2658.332119,2582.551336,2.934338,54534.243175,1.0317,2807.34,79.353158,-1.0611,,,,
2026-09-22T04:01:39.510532+00:00,EXIT,20260921T0800-L,2026-09-22T00:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.0.0,35677138787,746c465b,1.7,,,,,0.0035,3.771,,,0.0934,0.0983,3,0.0983,trailing_stop,0.09987,0.10227,0.09783,0.10193,552886469.0,0.002761,2.7092,84.419758,18.521283,0.091293,0.087716,4.078476,261841822.45,2.1115,0.10211,82.491655,0.1567,,,,
2026-09-22T04:01:39.813652+00:00,SIGNAL,20260922T0000-L,2026-09-22T00:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.0.0,35677138787,746c465b,1.7,0.1019,0.0999,0.104,2026-09-22T08:00:00+00:00,0.0041,4.0638,0.0978,4.0638,,,,,,0.09987,0.10227,0.09783,0.10193,552886469.0,0.002761,2.7092,84.419758,18.521283,0.091293,0.087716,4.078476,261841822.45,2.1115,0.10211,82.491655,0.1567,,,,
2026-09-22T04:01:40.737375+00:00,EXIT,20260921T0800-L,2026-09-22T00:00:00+00:00,long,XRPUSDT,binance_spot_mirror,mex-fwd-2.0.0,35677138787,746c465b,1.7,,,,,0.0485,3.2628,,,1.4856,1.5229,3,1.5229,trailing_stop,1.5363,1.5407,1.5035,1.5156,42976958.8,0.035364,2.3334,71.109545,6.329168,1.439356,1.40029,2.78982,35706430.87,1.2036,1.5743,78.047197,-2.1343,,,,
2026-09-22T04:01:41.975055+00:00,EXIT,20260921T0800-L,2026-09-22T00:00:00+00:00,long,SOLUSDT,binance_spot_mirror,mex-fwd-2.0.0,35677138787,746c465b,1.7,,,,,3.361,2.8776,,,116.8,116.5372,3,116.5372,trailing_stop,118.91,119.48,116.3,116.8,585637.698,2.250068,1.9264,69.041695,2.050759,112.516119,108.103559,4.081789,504110.1512,1.1617,119.99,83.66808,-0.425,,,,
2026-09-22T08:09:50.592500+00:00,ENTRY,20260922T0000-L,2026-09-22T04:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.1.0,35700680389,50088eb1,9.8,0.1019,,,,0.0046,4.5604,0.0973,4.5604,0.1019,,,0.1011,,0.10194,0.10589,0.0984,0.09884,567789036.0,0.003099,3.1356,71.722415,-2.313065,0.092012,0.088152,4.378747,283029956.2,2.0061,0.10227,84.419758,3.5396,,,,
2026-09-22T12:02:21.428423+00:00,EXIT,20260922T0000-L,2026-09-22T08:00:00+00:00,long,DOGEUSDT,binance_spot_mirror,mex-fwd-2.1.0,35700680389,50088eb1,2.4,,,,,0.0046,4.5604,,,0.1019,0.0988,1,0.1011,trailing_stop,0.09884,0.09979,0.09716,0.09792,240439168.0,0.003066,3.1308,68.422652,-11.32122,0.092575,0.088535,4.562664,286692392.95,0.8387,0.10589,84.419758,-5.7607,,,,
2026-09-22T16:03:25.189601+00:00,SIGNAL,20260922T1200-L,2026-09-22T12:00:00+00:00,long,XRPUSDT,binance_spot_mirror,mex-fwd-2.1.0,35732954188,747c4196,3.4,1.5722,1.5439,1.6005,2026-09-22T20:00:00+00:00,0.0566,3.6015,1.5156,3.6015,,,,,,1.5378,1.5958,1.5297,1.5722,78762691.9,0.037749,2.401,77.673451,2.804923,1.466668,1.416496,3.542027,39601610.245,1.9889,1.5743,78.047197,1.3657,,,,
